symbol,timeframe,macd_hist,macd_hist_percentile,macd_hist_zscore,macd_extreme_label,macd_extreme_warning,macd_extreme,lookback
BTC,1H,11.970122934678365,54.400000000000006,0.13281335358703494,NORMAL,False,False,250
BTC,4H,-323.89198734633055,10.4,-1.2481754640187435,NORMAL,False,False,250
BTC,1D,499.6308824587113,76.0,0.7376980362986146,NORMAL,False,False,250
ETH,1H,0.5916341800742941,52.800000000000004,0.14521240804334348,NORMAL,False,False,250
ETH,4H,-9.571463105044563,18.0,-0.9151446578436078,NORMAL,False,False,250
ETH,1D,10.154700442147885,62.4,0.35220190233873383,NORMAL,False,False,250
SOL,1H,-0.025608121239626636,44.4,-0.08190280178393244,NORMAL,False,False,250
SOL,4H,-0.2870990754697984,30.4,-0.6694966357893253,NORMAL,False,False,250
SOL,1D,0.9891075203700881,76.4,0.7867186477218618,NORMAL,False,False,250
LINK,1H,0.03944631776030241,85.2,0.9774435061832993,NORMAL,False,False,250
LINK,4H,0.07074890705727963,86.0,1.1218608305016506,NORMAL,False,False,250
LINK,1D,0.08378415317118676,78.4,0.7076335796402732,NORMAL,False,False,250
ONDO,1H,0.0017821203868244907,82.0,0.6343412006591954,NORMAL,False,False,250
ONDO,4H,0.012531723569788714,100.0,5.174644956539061,EXTREME_POSITIVE,True,True,250
ONDO,1D,0.013330823811246086,98.4,2.8308841612229614,EXTREME_POSITIVE,True,True,250
RENDER,1H,-0.0004752892909897499,51.6,-0.11563860129776805,NORMAL,False,False,250
RENDER,4H,-0.0028685142280138742,30.4,-0.4466076260216228,NORMAL,False,False,250
RENDER,1D,0.04489525723599917,97.6,1.814322274280264,WARNING_POSITIVE,True,False,250
FLOKI,1H,1.9169613708599366e-09,50.4,0.020428530603231274,NORMAL,False,False,250
FLOKI,4H,-1.5746281168913331e-07,18.4,-0.9023311397640634,NORMAL,False,False,250
FLOKI,1D,3.7171506302864706e-07,83.2,0.9189774890139802,NORMAL,False,False,250
PEPE,1H,5.522937081658649e-09,65.60000000000001,0.24460339664418074,NORMAL,False,False,250
PEPE,4H,-5.4848620194389576e-08,6.800000000000001,-1.515140961794937,NORMAL,False,False,250
PEPE,1D,1.0061301364752646e-07,95.19999999999999,1.7037070561124232,WARNING_POSITIVE,True,False,250
SPX6900,1H,0.002117924318148591,79.60000000000001,0.9523591598563088,NORMAL,False,False,250
SPX6900,4H,-0.0033934094937761675,22.8,-0.7169521490745585,NORMAL,False,False,250
SPX6900,1D,-0.008620239542924771,14.000000000000002,-1.0246759578923024,NORMAL,False,False,250
XRP,1H,0.0009280215003098268,50.0,0.2282291473984337,NORMAL,False,False,250
XRP,4H,-0.005885470695003087,21.2,-0.6383954991881344,NORMAL,False,False,250
XRP,1D,0.014131749238274205,87.2,0.8908141002459172,NORMAL,False,False,250
XLM,1H,0.00011331120553290455,52.0,0.1445013461369957,NORMAL,False,False,250
XLM,4H,0.0004254838727866519,72.0,0.33098857406310717,NORMAL,False,False,250
XLM,1D,0.003103987500481141,93.2,1.2109816809778118,NORMAL,False,False,250
HBAR,1H,-4.063091439999517e-05,36.8,-0.12109968184223793,NORMAL,False,False,250
HBAR,4H,-0.0006889011428934542,3.5999999999999996,-1.734321286423979,WARNING_NEGATIVE,True,False,250
HBAR,1D,0.0017899010704001952,97.2,2.3958943873085192,WARNING_POSITIVE,True,False,250
AVAX,1H,0.010956510067034991,60.8,0.30487721296340375,NORMAL,False,False,250
AVAX,4H,-0.1261054243055455,4.0,-1.860218483491314,WARNING_NEGATIVE,True,False,250
AVAX,1D,0.2724324540598073,98.4,2.418261692267763,EXTREME_POSITIVE,True,True,250
AWE,1H,1.4062312706370904e-05,46.800000000000004,0.06426082766416691,NORMAL,False,False,250
AWE,4H,0.00017150668118737298,78.4,0.6615593257084704,NORMAL,False,False,250
AWE,1D,0.0002101794962422114,61.199999999999996,0.17685497991598698,NORMAL,False,False,250
